Number,Canonical SMILES,Toxicity Value,Category
0,Oc1ccc(O)cc1,99.99818365,0
1,S=P(N1CC1)(N1CC1)N1CC1,10.99976746,-1
2,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,124.9862463,0
3,CN(C)C(=N)N=C(N)N,294.7977709,0
4,Cc1ccc(C(C)C)cc1O,73.29951206,0
5,COc1ccc(C(C)=O)c(O)c1,780.971801,0
6,O=CC(O)C1OC(=O)C(O)C1O,5796.868342,1
7,O=c1ccc2cc(O)c(O)cc2o1,1499.974738,0
8,COc1cc(C=CC(=O)O)ccc1O,193.9940057,0
9,C=CC1(C)CCC(C(=C)C)CC1C(=C)C,278.9904434,0
10,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1374.982242,0
11,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,1999.992135,0
12,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,1557.966891,0
13,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,58.10177626,0
14,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,158.2024192,0
15,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,984.9870505,0
16,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,350.0297999,0
17,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,12.74679751,-1
18,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,4110.0,1
19,C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,34.99635057,-1
20,CCCCCCC=CCCCCCCCCCC1=CC(=O)C=C(OC)C1=O,25.40237343,-1
21,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,135.9830287,0
22,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,62.00455794,0
23,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)C(C)(O)C2,390.0280931,0
24,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,84.99922967,0
25,CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(CO)C(O)C(O)C1O,3530.249799,1
26,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,124.9960854,0
