No.,Canonical SMILES,Toxicity Value,Category
0,Oc1ccc(O)cc1,244.9955497,0
1,S=P(N1CC1)(N1CC1)N1CC1,37.99919673,-1
2,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,54.62798786,0
3,CN(C)C(=N)N=C(N)N,1449.921418,0
4,O=C(O)C=Cc1ccccc1,4999.966256,1
5,CCCCCCCCCC=O,41747.59551,1
6,COc1ccccc1C=CC=O,1999.901348,0
7,COc1ccc(C(C)=O)c(O)c1,489.9823078,0
8,O=CC(O)C1OC(=O)C(O)C1O,19999.54576,1
9,CCOC(=O)c1cc(O)c(O)c(O)c1,5809.882729,1
10,C=CC1(C)CCC(C(=C)C)CC1C(=C)C,4999.828733,1
11,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1249.983857,0
12,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,4227.910149,1
13,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,250.007643,0
14,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,2000.061144,1
15,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,2328.723315,1
16,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,1600.136227,0
17,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,47.19721827,-1
18,CCCCCCC=CCCCCCCCCCC1=CC(=O)C=C(OC)C1=O,2821.185429,1
19,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,42.49469641,-1
20,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,150.0110274,0
21,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)C(C)(O)C2,777.0559706,0
22,O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,2.299771276,-1
23,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,9999.90939,1
24,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,1899.940498,0
25,CC1OC(OC2C(OC(=O)C=Cc3ccc(O)c(O)c3)C(CO)OC3OCC(c4ccc(O)c(O)c4)OC32)C(O)C(O)C1O,5000.192753,1
26,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,799.9926667,0
27,CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C,39.99794109,-1
28,COc1cc(C2c3cc4c(cc3C(O)C(CO)C2C(=O)O)OCO4)cc(OC)c1OC,898.9480264,0
29,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,1.265058874,-1
30,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1473.17233,0
31,C=C(C)C(CC=C(C)C)Cc1c(O)cc(O)c2c1OC(c1ccc(O)cc1O)CC2=O,2000.032982,1
32,CNC(C)C1C(O)CC2(C)C3CCC4C(C)(C)C(NC)CCC45CC35CCC12C,293.0240122,0
33,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,1174.791862,0
34,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,33.18237311,-1
35,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,145.1244878,0
36,CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,2572.877993,1
37,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,150.0071989,0
38,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,237.0781453,0
39,CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23,165.9994899,0
40,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,2000.198434,1
